rate,btl_delay,cca,test_duration,flows,interval,omit,aqm,buffer_factor,trial,jfi,loss_percentage,utilization,buffer_occupancy
100,10,bbr2-reno,120,1,0.1,180,FIFO,8,3,0.8610338007501646,0.0677053782643266,95.70879250835311,77.9334
100,10,bbr-bbr,120,1,0.1,180,FIFO,32,1,0.9687560709690936,0.0,93.72522316332302,15.88925
100,10,bbr-bbr,120,1,0.1,180,FIFO,32,2,0.966811518883737,0.0,93.7427042352849,15.907325
100,10,bbr-bbr,120,1,0.1,180,FIFO,32,3,0.9839467317968889,0.0,93.71650102330324,16.49455
100,10,bbr-bbr2,120,1,0.1,180,FIFO,32,1,0.6671346169584643,0.0,94.19708712193784,14.849575
100,10,bbr-bbr2,120,1,0.1,180,FIFO,32,2,0.7283684464603716,0.0,94.53788710627336,15.287075
100,10,bbr-bbr2,120,1,0.1,180,FIFO,32,3,0.8003599990561122,0.0,94.45049382229487,15.532625
100,10,bbr-cubic,120,1,0.1,180,FIFO,32,1,0.9960977056453388,0.3029317953662007,95.66509835973926,77.6825
100,10,bbr-cubic,120,1,0.1,180,FIFO,32,2,0.9800049566625272,0.3135668054198379,95.57771894851192,78.048
100,10,bbr-cubic,120,1,0.1,180,FIFO,32,3,0.986794047918154,0.4459075941828493,95.64761972300228,77.36625
100,10,bbr-reno,120,1,0.1,180,FIFO,32,1,0.9754392983148458,0.0375370341714987,95.6388824859752,67.96125
100,10,bbr-reno,120,1,0.1,180,FIFO,32,2,0.9907910702167404,0.0323132116374536,95.9359915931985,63.49825
100,10,bbr-reno,120,1,0.1,180,FIFO,32,3,0.9864272169562606,0.0422852545010097,95.77806844944706,65.64475
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,32,1,0.6271760935247234,0.0,94.15339542089492,13.1119
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,32,2,0.5304523053246504,0.0,94.17087227527372,12.676425
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,32,3,0.6301606737187574,0.0,94.0223340289886,13.939675
100,10,bbr2-cubic,120,1,0.1,180,FIFO,32,1,0.8436153789929169,0.1608002674445128,95.7087960398487,85.945
100,10,bbr2-cubic,120,1,0.1,180,FIFO,32,2,0.7996605832025442,0.0990595115983825,95.7000478503751,86.5485
100,10,bbr2-cubic,120,1,0.1,180,FIFO,32,3,0.9125746047177872,0.1077424552687294,95.69115511879666,85.264
100,10,bbr2-reno,120,1,0.1,180,FIFO,32,1,0.5709108057161463,0.0341817457360155,95.6650963720255,74.09425
100,10,bbr2-reno,120,1,0.1,180,FIFO,32,2,0.8581565008141305,0.0135593489356889,95.87480978370078,77.87575
100,10,bbr2-reno,120,1,0.1,180,FIFO,32,3,0.7635383436551101,0.0173237709603002,95.82209345783394,71.404
100,10,bbr-bbr,120,1,0.1,180,FIFO,64,1,0.9716426844755682,0.0,93.8300835044473,8.0635375
100,10,bbr-bbr,120,1,0.1,180,FIFO,64,2,0.9717172242256642,0.0,93.75143867282056,8.1122
100,10,bbr-bbr,120,1,0.1,180,FIFO,64,3,0.9613657166524004,0.0,93.73396907860236,7.9838375
100,10,bbr-bbr2,120,1,0.1,180,FIFO,64,1,0.8935346625655965,0.0,94.86118669720894,7.4146875
100,10,bbr-bbr2,120,1,0.1,180,FIFO,64,2,0.7619244009165916,0.0,94.30195118226293,7.703125
100,10,bbr-bbr2,120,1,0.1,180,FIFO,64,3,0.6662664223396016,0.0,94.17962534712032,7.30535
100,10,bbr-cubic,120,1,0.1,180,FIFO,64,1,0.986618821697908,0.5033139843637435,95.58645595913154,82.499
100,10,bbr-cubic,120,1,0.1,180,FIFO,64,2,0.9719795936663604,0.4705187189910744,95.4903560401224,83.035
100,10,bbr-cubic,120,1,0.1,180,FIFO,64,3,0.9597402883913398,0.4624996347832055,95.4379132011432,85.9405
100,10,bbr-reno,120,1,0.1,180,FIFO,64,1,0.9740036406019356,0.0083686202996804,95.59520821258256,72.28325
100,10,bbr-reno,120,1,0.1,180,FIFO,64,2,0.9658319678879826,0.0060633693578046,95.65638604111034,76.64875
100,10,bbr-reno,120,1,0.1,180,FIFO,64,3,0.9612066264008526,0.0103561686863467,95.5951983772906,73.919625
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,64,1,0.556550329759285,0.0,93.9349558885786,6.747325
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,64,2,0.5608720348076943,0.0,94.00485909482452,6.5519875
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,64,3,0.6424300721563319,0.0,94.0922370370262,7.048
100,10,bbr2-cubic,120,1,0.1,180,FIFO,64,1,0.7808598184669074,0.2879593465042219,95.56904588820672,80.439625
100,10,bbr2-cubic,120,1,0.1,180,FIFO,64,2,0.9278593223840016,0.2313723075525989,95.5602692209552,86.12
100,10,bbr2-cubic,120,1,0.1,180,FIFO,64,3,0.7667035167673181,0.3516912208500438,95.59522105425286,83.0295
100,10,bbr2-reno,120,1,0.1,180,FIFO,64,1,0.8219756666566754,0.0245918194440921,95.5602331638198,66.79825
100,10,bbr2-reno,120,1,0.1,180,FIFO,64,2,0.788957826469373,0.0069755638305151,96.04958341417932,70.117
100,10,bbr2-reno,120,1,0.1,180,FIFO,64,3,0.5285325665814565,0.011193177800591,95.59394294116332,74.425375
100,10,bbr2-reno,120,1,0.1,180,FIFO,1,1,0.7855483693064528,0.5987623869267339,95.263164897129,62.0136
100,10,bbr2-reno,120,1,0.1,180,FIFO,1,2,0.7716216079865719,0.6271223033352614,95.32430864293696,61.45376
100,10,bbr2-reno,120,1,0.1,180,FIFO,1,3,0.7847160620231849,0.6342519934414189,95.0883885642377,59.22376
100,10,bbr2-reno,120,1,0.1,180,FIFO,2,1,0.9601814324211552,0.1580946685891967,95.63889873660936,67.7408
